机器学习中的分类是什么？	预测离散/分类标签的监督学习任务。
分类与回归有何不同？	分类预测离散标签；回归预测连续值。
分类系统的四个主要组成部分是什么？	带标签的训练数据、特征、模型、评估指标。
“特征”在分类系统中的作用是什么？	原始数据供模型使用的数值表示。
分类中的“带标签的训练数据”是什么？	包含样本 `x` 及其对应正确标签 `y` 的数据集。
分类中的“模型”组成部分是什么？	学习特征与标签之间关系的算法。
分类中“评估指标”的用途是什么？	衡量模型性能（例如，准确率）。
什么是“特征向量”？	数据可测量属性的数值表示。
词袋（BoW）模型用于什么？	将文本数据表示为词频向量。
什么是“维度灾难”？	使用过多特征（高维度）引起的问题。
降维的目标是什么？	减少特征数量，同时保留重要信息。
什么是 PCA（主成分分析）？	一种流行的降维技术。
PCA 如何工作？	识别捕获最大方差的方向（主成分）。
PCA 中第一个主成分代表什么？	数据分布最分散的方向。
奥卡姆剃刀原则在模型构建中的含义是什么？	寻求能很好解释数据的更简单模型。
为什么特征工程在传统机器学习中被认为是关键？	对模型性能影响最大。
k-NN 是哪种类型的学习算法？	非参数、基于实例的监督学习。
k-NN 中“基于实例”意味着什么？	无显式训练阶段；记忆整个训练数据集。
k-NN 如何对新数据点进行分类？	分配其 `k` 个最近邻的多数标签。
k-NN 中超参数 `k` 的作用是什么？	控制模型复杂度和决策边界。
k-NN 中小的 `k`（例如 k=1）有什么影响？	低偏见、高方差（过拟合），对噪声敏感。
k-NN 中大的 `k` 有什么影响？	高偏见、低方差（欠拟合），决策边界更平滑。
k-NN 的最优 `k` 通常如何选择？	使用交叉验证寻找最佳分数。
k-NN 中最常用的距离度量是什么？	欧几里得距离（L2 范数）。
为什么特征缩放对 k-NN 至关重要？	对特征尺度敏感；大范围特征会主导距离计算。
k-NN 前常用的特征缩放方法是什么？	标准化（零均值，单位方差）。
k-NN 在计算成本方面有什么缺点？	测试时计算成本高。
k-NN 在内存方面有什么缺点？	需要大量内存来存储整个数据集。
k-NN 能学习复杂的决策边界吗？	是的，可以学习复杂的非线性决策边界。
逻辑回归的主要目的是什么？	为分类任务建模概率。
逻辑回归如何建模概率？	将线性模型输出通过 sigmoid 函数。
sigmoid 函数的公式是什么？	σ(z) = 1 / (1 + e⁻ᶻ)
逻辑回归中最小化的损失函数是什么？	负对数似然（交叉熵损失）。
逻辑回归中的决策边界是什么？	概率为 0.5 的线性边界 (wᵀx = 0)。
支持向量机（SVM）的核心原则是什么？	最大化类别之间的间隔。
SVM 中的“间隔”是什么？	决策边界与最近数据点之间的距离。
SVM 中的“支持向量”是什么？	恰好位于间隔边界上的数据点，定义边界。
SVM 中“核技巧”的用途是什么？	通过映射到高维空间处理非线性可分数据。
列举 SVM 中两种常用的核函数。	多项式核，径向基函数（RBF）核。
逻辑回归如何处理非线性？	需要手动进行特征工程。
SVM 如何处理非线性？	通过核技巧轻松处理。
逻辑回归提供哪种类型的输出？	概率。
SVM 通常提供哪种类型的输出？	类别标签。
逻辑回归的底层原则是什么？	概率性的（最大化似然）。
SVM 的底层原则是什么？	几何学的（最大化间隔）。
