Unix 的核心特性是什么？	多用户、多任务、分层目录、可移植性。
Unix 结构的三个主要组成部分是什么？	内核(Kernel)、外壳(Shell)和实用工具(Utilities)。
Unix 中内核(Kernel)的角色是什么？	调度程序、管理数据访问、执行所有硬件访问。
Unix 中外壳(Shell)的角色是什么？	作为用户与内核的接口，解释命令。
Unix 中的进程(process)是什么？	系统上每个正在运行的程序。
哪个命令可以列出当前运行的进程？	ps
哪个命令用于终止一个进程？	kill
Unix 内存管理中的“交换(swapping)”是什么？	将用户程序写入磁盘以释放主内存。
什么是“磁盘颠簸(disk thrashing)”？	操作系统因过载而大部分时间在内存和磁盘间穿梭程序。
Unix 关于工具的哲学是什么？	小型、单一用途的程序，把一件事做好。
哪个命令可以列出目录内容？	ls
哪个命令可以列出目录内容，包括隐藏文件，并以长格式显示？	ls -al
哪个命令可以更改当前目录？	cd
哪个命令可以显示当前工作目录？	pwd
哪个命令可以创建一个新目录？	mkdir
哪个命令可以删除文件？	rm
哪个命令可以递归删除目录？	rm -r
哪个命令可以复制文件？	cp
哪个命令可以移动或重命名文件？	mv
哪个命令可以创建一个符号链接？	ln -s
哪个命令可以创建或更新文件的时间戳？	touch
哪个命令可以分页显示文件内容？	more 或 less
哪个命令可以显示文件的最后10行？	tail
哪个命令可以显示当前活动的进程？	ps
哪个命令可以根据进程ID终止进程？	kill pid
哪个命令可以更改文件权限？	chmod
读权限的八进制值是多少？	4
写权限的八进制值是多少？	2
执行权限的八进制值是多少？	1
chmod 755 file 是什么意思？	所有者rwx，组r-x，其他人r-x。
哪个命令通过 SSH 连接到远程主机？	ssh user@host
哪个命令在文件中搜索模式？	grep
哪个命令显示命令的手册页？	man
哪个命令显示磁盘使用情况？	df
哪个命令可以创建一个 tar 归档文件？	tar cf
哪个命令可以解压 zip 归档文件？	unzip
SSH 的用途是什么？	连接远程 Linux 服务器。
什么是 WSL？	Windows Subsystem for Linux，在 Windows 上提供 Linux 环境。
Unix 中的根目录是什么？	整个文件系统的单一顶级目录。
哪个字符代表用户的主目录？	~
哪个字符代表当前目录？	.
哪个字符代表父目录？	..
什么是绝对路径？	从根目录 (/) 开始的路径。
什么是相对路径？	从当前目录开始的路径。
哪个命令显示当前目录的绝对路径？	pwd
哪个命令列出目录内容？	ls
哪个命令更改当前目录？	cd
哪个命令创建一个新目录？	mkdir
哪个命令复制文件或目录？	cp
哪个命令移动或重命名文件或目录？	mv
哪个命令删除文件？	rm
哪个命令递归删除目录？	rm -r
为什么使用 rm -rf 要小心？	删除是永久性的；命令行没有回收站。
哪个命令将文件压缩成 zip 归档文件？	zip
哪个命令从 zip 归档文件中提取文件？	unzip
三个标准 I/O 流是什么？	stdin, stdout, stderr。
什么是 stdin (标准输入)？	文件描述符 0，默认输入源（键盘）。
什么是 stdout (标准输出)？	文件描述符 1，默认输出目的地（屏幕）。
什么是 stderr (标准错误)？	文件描述符 2，默认错误信息目的地（屏幕）。
> 重定向操作符的作用是什么？	将 stdout 发送到文件，并覆盖它。
>> 重定向操作符的作用是什么？	将 stdout 追加到文件末尾。
< 重定向操作符的作用是什么？	使命令从文件读取 stdin。
2> 重定向操作符的作用是什么？	将 stderr 重定向到文件。
管道 | 操作符的作用是什么？	将一个命令的 stdout 发送到另一个命令的 stdin。
管道体现了 Unix 的什么哲学？	小型、单一用途的工具组合完成复杂任务。
如何给 shell 变量赋值？	VAR="值"（= 周围无空格）。
如何引用 shell 变量？	$VAR
shell 中的“弱引用”是什么？	双引号 ("), 允许变量替换。
shell 中的“强引用”是什么？	单引号 ('), 将所有内容视为字面字符串。
反斜杠 (\) 在 shell 中的作用是什么？	转义紧随其后的单个字符，移除其特殊含义。
为什么引用 shell 变量时应始终使用双引号？	防止变量包含空格或特殊字符时出现问题。
Vim 中的三个主要模式是什么？	普通模式、插入模式和可视模式。
Vim 的普通模式(Normal Mode)用于什么？	导航和发布命令（如删除、复制）。
如何进入 Vim 的插入模式(Insert Mode)？	按 i、a 或 o。
如何从其他模式返回 Vim 的普通模式？	按 Esc 键。
在 Vim (普通模式)中，如何保存文件？	:w
在 Vim (普通模式)中，如何不保存更改就退出？	:q!
在 Vim (普通模式)中，如何保存文件并退出？	:wq
在 Vim (普通模式)中，哪个命令可以删除当前行？	dd
在 Vim (普通模式)中，哪个命令可以复制(yank)当前行？	yy
在 Vim (普通模式)中，哪个命令可以粘贴内容？	p
C 语言工具链工作流程的三个主要步骤是什么？	编辑、编译、运行。
使用 GCC 编译 C 文件的标准命令是什么？	gcc filename.c -o outputname
在 GCC 中，-o 标志的作用是什么？	指定输出可执行文件的名称。
如何执行一个名为 `hello` 的已编译 C 程序？	./hello
Vim 效率的最佳实践是什么？	活在普通模式，只在输入时进入插入模式。
为什么 `fgets()` 比 `gets()` 更安全地读取字符串？	它限制读取的字符数，防止缓冲区溢出。
常见的 `fopen()` 模式有哪些？	"r" (读), "w" (写), "a" (追加)。
在 C 语言中，`&` 操作符的作用是什么？	获取变量的内存地址 (取地址)。
在 C 语言中，当与指针一起使用时，`*` 操作符的作用是什么？	访问指针地址处的值 (解引用)。
与指针误用相关的常见漏洞是什么？	缓冲区溢出、空指针解引用、悬挂指针。
在 C 语言中，一个与条件运算符相关的经典安全漏洞是什么？	使用赋值 `=` 而不是相等 `==`。
位操作符在安全上下文中的用途是什么？	用于密码学、网络数据包处理、权限标志。
Makefile 的用途是什么？	自动化项目的构建（编译）过程。
Makefile 规则的三个部分是什么？	目标、依赖、命令。
在 Makefile 中，命令行的缩进必须使用哪个字符？	Tab 字符。
`make` 如何决定是否需要重新构建目标？	它检查是否有任何依赖项比其目标更新。
C 语言中防止缓冲区溢出的字符串处理最佳实践是什么？	使用 `fgets()` 和 `snprintf()` 而不是 `gets()` 和 `strcpy()`。
在解引用指针之前，您应该始终做什么？	检查它是否为 `NULL`。
`snprintf()` 在 C 语言中的用途是什么？	带大小限制的安全字符串格式化。
什么是空指针解引用？	尝试访问 `NULL` 地址处的内存，导致程序崩溃。
什么是悬挂指针？	指向已释放内存的指针。
