线性回归的核心目标是什么？	为输入和连续目标间的线性关系建模。
简单线性模型的数学形式是什么？	t = w_0 + w_1x
在线性回归中，w_0 代表什么？	y 轴截距，垂直移动回归线。
在线性回归中，w_1 代表什么？	斜率，控制回归线的陡峭程度。
损失函数的主要作用是什么？	量化模型误差以衡量数据拟合度。
单个数据点的平方损失公式是什么？	L_n = (t_n - f(x_n))^2
均方误差(MSE)的公式是什么？	L = (1/N) * Σ(t_n - f(x_n))^2
scikit-learn中 .fit() 方法的作用是什么？	找到最小化损失函数的最优模型参数。
如何为 scikit-learn 的 .fit() 方法准备一维数组？	重塑为二维数组 (例如, x[:, np.newaxis])。
线性回归模型中输入-目标关系的核心假设是什么？	它是线性的。
如何从拟合的 `LinearRegression` 模型 `reg` 中获取截距 (w_0)？	`reg.intercept_[0]`
如何从拟合的 `LinearRegression` 模型 `reg` 中获取斜率 (w_1)？	`reg.coef_[0][0]`
NumPy 中 `x[:, np.newaxis]` 的作用是什么？	将一维数组 `x` 重塑为二维列向量。
如果线性回归中违反了线性假设，可能出现什么问题？	模型可能无法准确捕捉真实关系。
