哪个命令可以列出目录内容？	ls
哪个命令可以列出目录内容，包括隐藏文件，并以长格式显示？	ls -al
哪个命令可以更改当前目录？	cd
哪个命令可以显示当前工作目录？	pwd
哪个命令可以创建一个新目录？	mkdir
哪个命令可以删除文件？	rm
哪个命令可以递归删除目录？	rm -r
哪个命令可以复制文件？	cp
哪个命令可以移动或重命名文件？	mv
哪个命令可以创建一个符号链接？	ln -s
哪个命令可以创建或更新文件的时间戳？	touch
哪个命令可以分页显示文件内容？	more 或 less
哪个命令可以显示文件的最后10行？	tail
哪个命令可以显示当前活动的进程？	ps
哪个命令可以根据进程ID终止进程？	kill pid
哪个命令可以更改文件权限？	chmod
读权限的八进制值是多少？	4
写权限的八进制值是多少？	2
执行权限的八进制值是多少？	1
chmod 755 file 是什么意思？	所有者rwx，组r-x，其他人r-x。
哪个命令通过 SSH 连接到远程主机？	ssh user@host
哪个命令在文件中搜索模式？	grep
哪个命令显示命令的手册页？	man
哪个命令显示磁盘使用情况？	df
哪个命令可以创建一个 tar 归档文件？	tar cf
哪个命令可以解压 zip 归档文件？	unzip
