在 NumPy 中如何表示向量？	使用一维数组 (1D arrays)
在 NumPy 中如何表示矩阵？	使用二维数组 (2D arrays)
哪个 NumPy 函数可以创建全零矩阵？	np.zeros()
哪个 NumPy 函数可以创建全一矩阵？	np.ones()
哪个 NumPy 函数可以创建单位矩阵？	np.eye()
两个向量如何相加？	通过将其对应分量相加
向量如何与标量相乘？	通过将每个分量乘以该标量
什么是 L1 范数（曼哈顿距离）？	各分量绝对值之和
什么是 L2 范数（欧几里得距离）？	各分量平方和的平方根
什么是 L-无穷大范数？	各分量绝对值中的最大值
什么是两个向量的点积？	衡量它们几何关系的标量值
如果两个非零向量的点积为零，它们是什么关系？	相互正交（垂直）
两个矩阵如何相加？	通过将其对应元素相加
矩阵如何与标量相乘？	通过将每个元素乘以该标量
矩阵 A 的转置 (A^T) 是如何形成的？	通过将其行变为列，列变为行
矩阵-矩阵乘法成立的条件是什么？	第一个矩阵的列数必须等于第二个矩阵的行数
矩阵乘法满足交换律吗？	不满足，通常 AB != BA
NumPy 中用于矩阵乘法的运算符是？	@ 运算符
NumPy 中用于逐元素乘法的运算符是？	* 运算符
什么是方阵？	行数和列数相同的矩阵
什么是对称矩阵？	等于其转置的方阵 (A = A^T)
什么是对角矩阵？	所有非对角线元素都为零的矩阵
什么是单位矩阵？	对角线元素全为1的对角矩阵
什么是正交矩阵？	其逆矩阵等于其转置的方阵 (A^-1 = A^T)
