如何定义类的构造器？	使用 __init__
实例方法的第一个参数通常是什么？	self
如何定义类方法？	使用 @classmethod
如何定义静态方法？	使用 @staticmethod
单下划线前缀的惯例含义是什么？	表示受保护（约定）
双下划线前缀会触发什么？	name mangling（名称改写）
name mangling 会将 __attr 改写为？	_ClassName__attr
如何将方法暴露为只读属性？	使用 @property
继承的基本语法是什么？	class Sub(Parent):
如何在子类中调用父类构造器？	super().__init__(...)
方法重写（override）指的是什么？	子类重新定义父类方法
多态在 OOP 中如何体现？	不同子类以不同方式实现同名方法
什么是组合（composition）？	类包含另一个类的实例作为属性
何时优先使用组合而非继承？	当关系是“有一个”时
__str__ 与 __repr__ 的主要区别是什么？	__str__: 面向用户; __repr__: 面向开发者
如何实现对象相等性比较？	实现 __eq__
如何判断对象是某类的实例？	isinstance(obj, Class)
dataclass 的主要作用是什么？	自动生成 __init__/__repr__/__eq__
设置 dataclass 为 frozen=True 有何效果？	实例变为不可变
不可变对象的好处有哪些？	线程安全、可作 dict 键、减少副作用
什么是单一职责原则？	每个类只负责一种抽象
为什么要实现 __repr__？	便于调试和记录日志
过度使用双下划线私有化的缺点是什么？	增加测试与扩展成本
