什么是远程仓库？	托管在网络上用于团队共享和同步的项目版本
`git push`的作用是？	将本地提交的更改发布到远程仓库
`git pull`的作用是？	从远程仓库获取更改并合并到本地分支
设置SSH密钥的目的是？	为远程仓库提供比用户名/密码更安全的认证
如何生成SSH密钥对？	`ssh-keygen -t rsa`
公钥通常存放在哪个文件？	`~/.ssh/id_rsa.pub`
`git clone [URL]`的作用是？	将整个远程仓库复制到本地机器
`origin`在Git中通常指什么？	克隆的远程仓库的默认名称
`git pull`和`git push`前应该做什么？	先`git pull`以避免冲突
合并冲突何时发生？	当Git无法自动合并来自两个分支的更改时
Git如何标记合并冲突？	使用`<<<<<<<`, `=======`, `>>>>>>>`标记
解决合并冲突后需要做什么？	手动编辑文件，然后`git add`和`git commit`
`git tag -a v1.0`的作用是？	创建一个带注释的标签，通常用于版本发布
`git blame [file]`的作用是？	逐行显示文件的最后修改信息（作者、提交）
