Git是什么？	一种分布式版本控制系统（VCS）
VCS代表什么？	版本控制系统
Git是谁发明的？	Linus Torvalds
`git config --global user.name`的作用是？	设置全局Git提交用户名
`git init`的作用是？	在当前目录初始化一个新的Git仓库
`.git`目录包含什么？	仓库的所有元数据和历史记录
`git status`的作用是？	显示工作目录和暂存区的状态
`git add [file]`的作用是？	将文件更改暂存以备下次提交
`git commit -m "message"`的作用是？	将暂存的更改记录到仓库
`git log`的作用是？	显示提交历史
`git diff`的作用是？	显示工作目录和暂存区之间的更改
如何撤销未暂存的更改？	`git checkout -- [file]`
如何取消暂存的文件？	`git reset [file]`
`git revert [commit_ID]`的作用是？	创建一个新提交来撤销指定提交的更改
为什么推荐使用`git revert`？	它保留项目历史，是更安全的回滚方式

什么是远程仓库？	托管在网络上用于团队共享和同步的项目版本
`git push`的作用是？	将本地提交的更改发布到远程仓库
`git pull`的作用是？	从远程仓库获取更改并合并到本地分支
设置SSH密钥的目的是？	为远程仓库提供比用户名/密码更安全的认证
如何生成SSH密钥对？	`ssh-keygen -t rsa`
公钥通常存放在哪个文件？	`~/.ssh/id_rsa.pub`
`git clone [URL]`的作用是？	将整个远程仓库复制到本地机器
`origin`在Git中通常指什么？	克隆的远程仓库的默认名称
`git pull`和`git push`前应该做什么？	先`git pull`以避免冲突
合并冲突何时发生？	当Git无法自动合并来自两个分支的更改时
Git如何标记合并冲突？	使用`<<<<<<<`, `=======`, `>>>>>>>`标记
解决合并冲突后需要做什么？	手动编辑文件，然后`git add`和`git commit`
`git tag -a v1.0`的作用是？	创建一个带注释的标签，通常用于版本发布
`git blame [file]`的作用是？	逐行显示文件的最后修改信息（作者、提交）

LaTeX是什么？	一种高质量的排版系统，用于专业文档准备
Overleaf是什么？	一个基于云的在线LaTeX编辑器和编译器
LaTeX文档的最小结构是什么？	`\documentclass{}`, `\begin{document}`, `\end{document}`
如何在LaTeX中创建新章节？	使用 `\section{章节名}`
如何在LaTeX中交叉引用章节？	使用 `\label{}` 和 `\ref{}`
如何在LaTeX中排版数学公式？	使用 `\begin{equation}` 环境或 `$...$`
如何将LaTeX编译为PDF？	使用 `pdflatex` 命令
Makefile在LaTeX中的作用是？	自动化编译过程，处理多次编译和清理
`\documentclass{article}`的作用是？	定义文档类型为文章
如何在LaTeX中写粗体字？	`\textbf{文本}`
如何在LaTeX中写斜体字？	`\textit{文本}`
De Morgan定律的一个例子是什么？	`\lnot (A \land B) \equiv \lnot A \lor \lnot B`

`pwd`命令的作用是？	打印当前工作目录
