使用正则化的主要动机是什么？	通过控制模型复杂度来防止过拟合。
正则化如何防止过拟合？	向损失函数添加惩罚项，抑制过大权重。
正则化损失函数的一般形式是什么？	L_reg = L_data + L_penalty
岭回归也称为？	L2 正则化。
岭回归中的惩罚项是什么？	权重的平方和（L2 范数），由 λ 缩放。
L2 正则化对模型权重有什么影响？	将所有权重向零收缩，但很少精确为零。
岭回归中超参数 λ (alpha) 控制什么？	正则化的强度。
如果岭回归中 λ = 0 会发生什么？	等同于普通最小二乘法。
Lasso 回归也称为？	L1 正则化。
Lasso 回归中的惩罚项是什么？	权重的绝对值之和（L1 范数），由 λ 缩放。
L1 正则化对模型权重有什么独特属性？	可迫使某些权重精确为零（稀疏性）。
Lasso 回归因其稀疏性属性，一个关键用例是什么？	自动特征选择。
如何选择最优的正则化参数 λ？	使用交叉验证寻找最低验证误差。
在应用岭回归或 Lasso 回归之前，为什么特征缩放很重要？	正则化对特征尺度敏感。
过拟合模型中过大的权重有什么影响？	导致模型函数剧烈波动。
