Vim 中的三个主要模式是什么？	普通模式、插入模式和可视模式。
Vim 的普通模式(Normal Mode)用于什么？	导航和发布命令（如删除、复制）。
如何进入 Vim 的插入模式(Insert Mode)？	按 i、a 或 o。
如何从其他模式返回 Vim 的普通模式？	按 Esc 键。
在 Vim (普通模式)中，如何保存文件？	:w
在 Vim (普通模式)中，如何不保存更改就退出？	:q!
在 Vim (普通模式)中，如何保存文件并退出？	:wq
在 Vim (普通模式)中，哪个命令可以删除当前行？	dd
在 Vim (普通模式)中，哪个命令可以复制(yank)当前行？	yy
在 Vim (普通模式)中，哪个命令可以粘贴内容？	p
C 语言工具链工作流程的三个主要步骤是什么？	编辑、编译、运行。
使用 GCC 编译 C 文件的标准命令是什么？	gcc filename.c -o outputname
在 GCC 中，-o 标志的作用是什么？	指定输出可执行文件的名称。
如何执行一个名为 `hello` 的已编译 C 程序？	./hello
Vim 效率的最佳实践是什么？	活在普通模式，只在输入时进入插入模式。
