线性回归的核心目标是什么？	为输入和连续目标间的线性关系建模。
简单线性模型的数学形式是什么？	t = w_0 + w_1x
在线性回归中，w_0 代表什么？	y 轴截距，垂直移动回归线。
在线性回归中，w_1 代表什么？	斜率，控制回归线的陡峭程度。
损失函数的主要作用是什么？	量化模型误差以衡量数据拟合度。
单个数据点的平方损失公式是什么？	L_n = (t_n - f(x_n))^2
均方误差(MSE)的公式是什么？	L = (1/N) * Σ(t_n - f(x_n))^2
scikit-learn中 .fit() 方法的作用是什么？	找到最小化损失函数的最优模型参数。
如何为 scikit-learn 的 .fit() 方法准备一维数组？	重塑为二维数组 (例如, x[:, np.newaxis])。
线性回归模型中输入-目标关系的核心假设是什么？	它是线性的。
如何从拟合的 `LinearRegression` 模型 `reg` 中获取截距 (w_0)？	`reg.intercept_[0]`
如何从拟合的 `LinearRegression` 模型 `reg` 中获取斜率 (w_1)？	`reg.coef_[0][0]`
NumPy 中 `x[:, np.newaxis]` 的作用是什么？	将一维数组 `x` 重塑为二维列向量。
如果线性回归中违反了线性假设，可能出现什么问题？	模型可能无法准确捕捉真实关系。
多项式回归解决了什么问题？	为直线无法捕捉的非线性关系建模。
多项式回归模型的通用公式是什么？	t = w_0 + w_1x + w_2x^2 + ... + w_Kx^K
多项式回归是线性模型还是非线性模型？	是线性模型，因为它对权重(w)是线性的。
什么是过拟合？	模型学习了训练数据的噪声，无法泛化到新数据。
过拟合的多项式模型有什么常见的视觉特征？	剧烈波动，尤其是在数据范围的边缘。
验证集的用途是什么？	估计在未见过数据上的性能并选择超参数。
如何使用验证集选择最佳模型？	选择验证误差最低的模型。
为什么K-折交叉验证通常优于单个验证集？	它能提供对模型性能更稳健、更可靠的估计。
K-折交叉验证中，获得单一性能分数的最后一步是什么？	对所有K折的分数取平均值。
关于测试集，在模型选择中一个关键的最佳实践是什么？	它应该只在最后使用一次，以报告最终性能。
scikit-learn中 `PolynomialFeatures(degree)` 的作用是什么？	生成最高 `degree` 的多项式和交互特征。
`make_pipeline(PolynomialFeatures(3), LinearRegression())` 实现了什么？	创建三阶多项式回归的流水线。
`cross_val_score` 中 `scoring='neg_mean_squared_error'` 的作用是什么？	`cross_val_score` 期望效用分数（越高越好），因此MSE被取反。
K-折交叉验证中，K 值越大有什么优点？	估计更稳健，偏差更小。
K-折交叉验证中，K 值越大有什么缺点？	计算成本更高。
使用正则化的主要动机是什么？	通过控制模型复杂度来防止过拟合。
正则化如何防止过拟合？	向损失函数添加惩罚项，抑制过大权重。
正则化损失函数的一般形式是什么？	L_reg = L_data + L_penalty
岭回归也称为？	L2 正则化。
岭回归中的惩罚项是什么？	权重的平方和（L2 范数），由 λ 缩放。
L2 正则化对模型权重有什么影响？	将所有权重向零收缩，但很少精确为零。
岭回归中超参数 λ (alpha) 控制什么？	正则化的强度。
如果岭回归中 λ = 0 会发生什么？	等同于普通最小二乘法。
Lasso 回归也称为？	L1 正则化。
Lasso 回归中的惩罚项是什么？	权重的绝对值之和（L1 范数），由 λ 缩放。
L1 正则化对模型权重有什么独特属性？	可迫使某些权重精确为零（稀疏性）。
Lasso 回归因其稀疏性属性，一个关键用例是什么？	自动特征选择。
如何选择最优的正则化参数 λ？	使用交叉验证寻找最低验证误差。
在应用岭回归或 Lasso 回归之前，为什么特征缩放很重要？	正则化对特征尺度敏感。
过拟合模型中过大的权重有什么影响？	导致模型函数剧烈波动。
