C 语言与高级语言的核心区别？	手动内存管理与直接内存访问
C 语言中 _Bool 类型需要包含哪个头文件？	<stdbool.h>
整数除法 5 / 2 的结果是？	2（截断小数）
函数在使用前进行声明称为什么？	函数原型 (Function Prototype)
C 语言程序的入口点函数是？	main 函数
用于获取变量内存地址的运算符是？	& (取地址运算符)
用于访问指针指向地址处的值的运算符是？	* (解引用运算符)
解引用 NULL 指针会导致什么错误？	程序崩溃（段错误）
用于存储局部变量和函数调用信息的内存区域是？	栈 (Stack)
用于程序动态分配的内存区域是？	堆 (Heap)
在堆上分配内存的函数是？	malloc()
释放由 malloc 分配的内存的函数是？	free()
每次 malloc 后应检查什么以防分配失败？	返回值是否为 NULL
free 指针后应如何操作以避免悬挂指针？	将指针设为 NULL
向缓冲区写入的数据超出其容量会发生什么？	缓冲区溢出 (Buffer Overflow)
为避免缓冲区溢出，应使用哪个函数替代 strcpy()？	strncpy()
当 printf 的格式化字符串可被用户控制时可能产生什么漏洞？	格式化字符串漏洞
用于读写且文件必须存在的 fopen 模式是？	r+
用于读写、不存在则创建、存在则清空的 fopen 模式是？	w+
fgets() 函数的三个参数分别是什么？	缓冲区、最大字符数、输入流
直接访问 struct 成员使用哪个操作符？	. (点)
通过指针访问 struct 成员使用哪个操作符？	-> (箭头)
C 语言中唯一的三元操作符是？	?:
按位与 (AND) 操作符是？	&
按位或 (OR) 操作符是？	|
按位异或 (XOR) 操作符是？	^
用于获取类型或变量大小的操作符是？	sizeof()
