概率论中的“实验”是什么？	结果不确定的事件
概率论中的“样本空间”是什么？	一个实验所有可能结果的集合
一个事件的“概率”是如何定义的？	该事件的结果数与样本空间总结果数的比率
概率的贝叶斯（拉普拉斯）观点是什么？	将概率视为一种信念的演算或置信度
概率的频率派观点是什么？	认为概率是重复事件的长期频率
概率的有界性公理是什么？	对任意事件A，0 <= P(A) <= 1
概率的归一性公理是什么？	样本空间中所有可能结果的概率之和为1
概率的加法法则（对于事件A和B）是什么？	P(A 或 B) = P(A) + P(B) - P(A 与 B)
什么是条件概率 P(A|B)？	在B已经发生的条件下，A发生的概率
什么是随机变量？	一个可以取不同值但具体值未知的变量
什么函数描述离散随机变量的概率？	概率质量函数 (PMF)
什么函数描述连续随机变量的概率？	概率密度函数 (PDF)
任何PMF或PDF在所有可能结果上的总和或积分必须是多少？	1
随机变量的“期望”或“期望值”E[X]是什么？	由每个结果的概率加权的“平均”值
一个随机变量的均值是什么？	它的期望 E[X]
一个随机变量的方差是什么？	衡量分布离散程度的指标，E[(X-E[X])^2]
为什么我们经常使用对数概率？	通过加法代替乘法，以避免数值下溢
