Python 的三种数值类型是？	int、float、complex
Python 的布尔类型是？	bool（True 或 False）
Python 的空值类型是？	None
字符串是可变的吗？	不可变
列表（list）是可变的吗？	可变
元组（tuple）是可变的吗？	不可变
字典（dict）的键可以是列表吗？	不可以（键必须是不可变类型）
集合（set）的特点是？	无序、元素唯一
整数除法运算符是？	//
取余运算符是？	%
幂运算符是？	**
字符串切片 s[:3] 的含义是？	前三个字符（索引 0 到 2）
字符串切片 s[-2:] 的含义是？	最后两个字符
len() 函数的作用是？	返回序列或集合的长度
列表推导式的语法是？	[表达式 for 变量 in 序列 if 条件]
字典推导式的语法是？	{键表达式: 值表达式 for 变量 in 序列}
f-string 的语法是？	f"文本 {变量}"
格式化浮点数保留两位小数的语法是？	f"{变量:.2f}"
input() 函数返回的类型是？	字符串（str）
如何将字符串转为整数？	int(字符串)
转换失败会引发什么异常？	ValueError
strip() 方法的作用是？	去除字符串两端的空白字符
split() 方法的作用是？	将字符串分割为列表
lower() 方法的作用是？	将字符串转为小写
upper() 方法的作用是？	将字符串转为大写
title() 方法的作用是？	将每个单词首字母大写
百分号格式化中 %d 代表什么？	十进制整数
百分号格式化中 %f 代表什么？	浮点数
百分号格式化中 %.2f 代表什么？	保留两位小数的浮点数
正则表达式模块是？	re
re.findall() 的作用是？	找到所有匹配项并返回列表
re.search() 的作用是？	找到第一个匹配项并返回匹配对象
re.split() 的作用是？	按正则表达式分割字符串
re.sub() 的作用是？	替换匹配的子串
\d 在正则表达式中代表什么？	数字
\s 在正则表达式中代表什么？	空白字符
为什么不能用列表作为函数默认参数？	列表是可变对象，会在多次调用间共享
如何避免可变默认参数问题？	使用 None 作为默认值，函数内创建新对象
PEP 8 是什么？	Python 代码风格指南
类型提示的作用是？	提高代码可读性和 IDE 支持
如何为函数添加返回值类型提示？	def func() -> 返回类型:
多行字符串如何表示？	使用三引号 """ ... """
变量命名应避免什么？	使用保留字和内置函数名
