多项式回归解决了什么问题？	为直线无法捕捉的非线性关系建模。
多项式回归模型的通用公式是什么？	t = w_0 + w_1x + w_2x^2 + ... + w_Kx^K
多项式回归是线性模型还是非线性模型？	是线性模型，因为它对权重(w)是线性的。
什么是过拟合？	模型学习了训练数据的噪声，无法泛化到新数据。
过拟合的多项式模型有什么常见的视觉特征？	剧烈波动，尤其是在数据范围的边缘。
验证集的用途是什么？	估计在未见过数据上的性能并选择超参数。
如何使用验证集选择最佳模型？	选择验证误差最低的模型。
为什么K-折交叉验证通常优于单个验证集？	它能提供对模型性能更稳健、更可靠的估计。
K-折交叉验证中，获得单一性能分数的最后一步是什么？	对所有K折的分数取平均值。
关于测试集，在模型选择中一个关键的最佳实践是什么？	它应该只在最后使用一次，以报告最终性能。
scikit-learn中 `PolynomialFeatures(degree)` 的作用是什么？	生成最高 `degree` 的多项式和交互特征。
`make_pipeline(PolynomialFeatures(3), LinearRegression())` 实现了什么？	创建三阶多项式回归的流水线。
`cross_val_score` 中 `scoring='neg_mean_squared_error'` 的作用是什么？	`cross_val_score` 期望效用分数（越高越好），因此MSE被取反。
K-折交叉验证中，K 值越大有什么优点？	估计更稳健，偏差更小。
K-折交叉验证中，K 值越大有什么缺点？	计算成本更高。
