`pwd`命令的作用是？	打印当前工作目录
`cd`命令的作用是？	更改当前目录
`ls -l`的作用是？	以长列表格式显示目录内容
`ssh`命令的作用是？	安全地连接到远程Linux机器
Linux命令行是否区分大小写？	是
`~`在Linux中代表什么？	当前用户的主目录
`*`在Linux中是什么？	一个通配符，匹配任意字符序列
如何将`echo`的输出重定向到文件并覆盖？	`echo "text" > file.txt`
`mkdir`命令的作用是？	创建一个新目录
`mv`命令的作用是？	移动或重命名文件/目录
`rm`命令的作用是？	删除文件
`cat`命令的作用是？	显示文件内容
`head -n 5`的作用是？	显示文件的前5行
`tail -f`的作用是？	实时跟踪文件的新增内容
`ps`命令的作用是？	显示当前运行的进程
`kill [PID]`的作用是？	终止指定PID的进程
`man [command]`的作用是？	显示命令的手册页
Shell脚本的第一行通常是什么？	Shebang，例如 `#!/bin/bash`
如何使Shell脚本可执行？	`chmod +x script_name`
如何在Shell脚本中读取用户输入？	`read -p "Prompt: " variable`
如何在Shell脚本中访问第一个命令行参数？	使用 `$1`
