机器学习中的分类是什么？	预测离散/分类标签的监督学习任务。
分类与回归有何不同？	分类预测离散标签；回归预测连续值。
分类系统的四个主要组成部分是什么？	带标签的训练数据、特征、模型、评估指标。
“特征”在分类系统中的作用是什么？	原始数据供模型使用的数值表示。
分类中的“带标签的训练数据”是什么？	包含样本 `x` 及其对应正确标签 `y` 的数据集。
分类中的“模型”组成部分是什么？	学习特征与标签之间关系的算法。
分类中“评估指标”的用途是什么？	衡量模型性能（例如，准确率）。
什么是“特征向量”？	数据可测量属性的数值表示。
词袋（BoW）模型用于什么？	将文本数据表示为词频向量。
什么是“维度灾难”？	使用过多特征（高维度）引起的问题。
降维的目标是什么？	减少特征数量，同时保留重要信息。
什么是 PCA（主成分分析）？	一种流行的降维技术。
PCA 如何工作？	识别捕获最大方差的方向（主成分）。
PCA 中第一个主成分代表什么？	数据分布最分散的方向。
奥卡姆剃刀原则在模型构建中的含义是什么？	寻求能很好解释数据的更简单模型。
为什么特征工程在传统机器学习中被认为是关键？	对模型性能影响最大。
