三个标准 I/O 流是什么？	stdin, stdout, stderr。
什么是 stdin (标准输入)？	文件描述符 0，默认输入源（键盘）。
什么是 stdout (标准输出)？	文件描述符 1，默认输出目的地（屏幕）。
什么是 stderr (标准错误)？	文件描述符 2，默认错误信息目的地（屏幕）。
> 重定向操作符的作用是什么？	将 stdout 发送到文件，并覆盖它。
>> 重定向操作符的作用是什么？	将 stdout 追加到文件末尾。
< 重定向操作符的作用是什么？	使命令从文件读取 stdin。
2> 重定向操作符的作用是什么？	将 stderr 重定向到文件。
管道 | 操作符的作用是什么？	将一个命令的 stdout 发送到另一个命令的 stdin。
管道体现了 Unix 的什么哲学？	小型、单一用途的工具组合完成复杂任务。
如何给 shell 变量赋值？	VAR="值"（= 周围无空格）。
如何引用 shell 变量？	$VAR
shell 中的“弱引用”是什么？	双引号 ("), 允许变量替换。
shell 中的“强引用”是什么？	单引号 ('), 将所有内容视为字面字符串。
反斜杠 (\) 在 shell 中的作用是什么？	转义紧随其后的单个字符，移除其特殊含义。
为什么引用 shell 变量时应始终使用双引号？	防止变量包含空格或特殊字符时出现问题。
